	Author	Ratings	Title	Description
724	Stupendoussteve	5	Same behavior, better performance	This new Chromecast is familiar for users of the previous model, but has a better and faster connection and overall better performance. It is worth an upgrade.
725	Jimker55	5	works great	Chrome cast works as it should. very easy to set up and haven't had any problems!
726	Frank	4	Good but google has a few bugs to workout	Got this to upgrade from older model. Unable to connect 5ghz on wireless AC unless i disable all password on the access point wireless. This is a router using stock firmware. Google is aware of bug.
727	Abe65jet	5	Best for your money	This Did what I needed it to do. And google lived up to the 5 G wireless network promise. Works well.
728	Jessz77	5	Chromecast	We have a couple of the older models so when we saw that there was a newer version we jumped at it. So far it works great. Less time buffering or waiting. Not bad for the price either.
729	carolong	5	Ideal for 5GHz Wi-fi	The new chromecast is ideal if you have a wifi router 5GHz 802.11ac.
730	Snotbox	5	Brilliant Technology	This is the third Chromecast device I have purchased and I do not know how I managed without them. Brings the internet to your biggest screen. :)
731	LifeActiv	5	Cool Chrome	This is an amazing product that I wished Apple was capable of offering in the size, price and features it provides. Definitely recommended.
732	pk4425	5	Incredible	Fantastic product that opens a new world of entertainment. Turned my 8-year-old dumb TV into a smart TV. So easy to use phone as remote. LOVE IT!
733	rain	5	Works great	Would highly recommend to anyone look in ng for Netflix
734	Vincent	5	Work well and fast.	It is very easy to use my phone to control the device.
735	ElderT	1	Good for travelling.	"It's okay. Can't use with my current cable company. The technician told me that i could. Had i known i couldn't, 
I would not have purchased it. I didn't test it right away now I'm stuck with it. Don't like the fact that I can only use Google Apps."
736	Mubi	5	Perfect for my use	Perfect for my use. I love this product , so easy to use.
737	vtk09	4	Works as expected	Everything works as expected. The only downside is it does not come with a wall plug-in and the USB plug-in is not the best option.
738	glass	5	great for the extra tv	glad to have this its easy to use with the iPhone.
739	Watanacio	5	Easy set up	Easy to set up and even easier to Recognize the difference between TVs
740	Bestbuyer	5	Bought it as a backup of my existing one	Easy to setup, works fine. I like the photos displayed on the TV as well when I am not playing any live video.
741	Timd128	4	Great product	Good product for all those cable cutters, works great, good price, easy setup
742	Sjgs	5	Great product	Works great with an iPad. Like the option to use other devices as a remote.
743	AnaS	5	Great device!	I love it! Works perfectly with my phone! Specially YouTube
744	BRUNO	1	Didn't get it	Maybe it's me but couldn't use it .Picked up a Roku box instead more user friendly.
745	Lefty	5	Fun casting!	Great for watching you tube videos and web surfing!
746	Ricardo	4	Easy install	Very easy to install! If you don't have a smart TV this is a very cheap way to get one.
747	Sara	4	Convenient	I love being able to transfer what I'm viewing on my phone to it. There is a couple apps that I would like to be able to use on the chrome cast but luckily the important ones work on it like Netflix, YouTube, Spotify and Pandora so overall it was a good buy and I recommend, its not all that expensive either.
748	JURZGURL	5	Good	Tje item worked for what i needed it fir with mo problems.
749	Pearl	4	I love this product	This is a good product. Especially when you were not able to see movie on the theater. Would I recommend, yes.
750	faraz	5	turn my TV to smart TV .wowwwwwww	i have a regular LCD tv and with google chrome cast i can say I have smart TV .Wowwwwwwwwww
751	Wheeling	5	Great addition	Saw it at Bestbuy. It was inexpensive. And would add to the shows i could watch on my tv, very happy.
752	GamerZ	5	Faster than Expected	The 2nd generation Chromecast is a great feature value. And works faster than I expected
753	Gmen	5	As advertised	"Works great and as well as it was advertised 
Small, smart and fast"
754	happydad	5	Cord Cutter	Set up took 5 minutes from unboxing to watching a movie. Firestick may be a bit more but I believe Chromecast is superior. Make the decision and buy one or a few, you won't be disappointed.
755	archie	5	Works great	Great product to help eliminate cable contract fees
756	Krish	4	Awesome Product	Good for Smart TV and awesome product. So far so good.
757	ndhillis	5	Great product	This is my second one. They are a great substitute for replaceing cable boxes in extra rooms or kids rooms
758	Jrodz4990	4	Great buy	Works great with google home and tv but you would know Exactly the title of what you're looking for
759	Scott	4	Easy Setup	Bought it to mirror tablet to my flat screen television. Easy to use.
760	Goocherrific	5	Great product	I have a bunch of these, synced audio in the whole house is awesome!
761	Prince	5	Great product!!	This works perfectly with my computer chrome browse, my google home, and google pixel 2 XL. It very easy to connect and stable connection.
762	TInTin123	5	Perfect for watching movites	My friend wanted this one after seeing at his friend's place. He loves it truely
763	NMT505	5	One of the best devices I own.	Chromecast is one of the best technologies I own. I seriously have one in every room to bounce YouTube videos, music, Netflix anything to any tv in my house.
764	ss41	5	It s a chromecast	chromcast is my favorite google device. great, easy to use
765	ifoundnemo1st	5	works great	Love my google chromecast! Primarily used to display a cpu webpage to a tv. No problems 4 months in
766	Pizzaboy	5	Great cast device	It is a good device to have a connection from any app with cast capabilities from your smartphone or tablet, or even from your computer. It is a good option for those no smart TVs.
767	Lance	5	Makes my TV smart	The Google Chromecast can basically make your TV smart. With your smartphone (works with either Android or iOS), you can access apps like Netflix, HBO NOW, Showtime to watch your favorite shows, or even cast Facebook videos. I like the Chromecast because I can specifically cast videos when I use my phone's internet browser. Very helpful when you want something on a bigger screen rather than on a small screen.
768	MRD33	5	Really cool	This is a really cool way of playing youtube or other streaming videos on your TV screen. It is really easy to use too.
769	Cabal	4	Convenient	This item makes it easy to watch stuff on any TV with either a PC or smartphone. I would think Google has enough moola to make it cheaper to buy though.
770	RansonDrew	5	Simple and functional	Chromecast simply works. Use your phone or your PC. No remotes. No user interface.
771	crog75	5	Nice!	This is a neat little device. Easy to set up and use, nice price point. I wish a few more of the apps I used would Cast, but that is not a fault of the device.
772	shivaj	4	Awesome buy	It was a great device to stream and very easy to setup.
773	phnxnvrdies	4	got android? Chromecast is a must..	after playing around for a bit to get it to work.. I was fairly happy with it.. its great casting my Nexus6, even my nexus7 is great with it.. my only issue is windows 10 can see it perfectly fine but I have yet to get it to project to it..
774	Electromania	5	Needed to make a non-smart TV smarter	Needed to make a non-smart TV smarter, this did the trick. I've bought several of these already for gifts & other personal TV's
775	mrkinnex	5	Does what it says	Perfect complement to my Google Home eco system. Now I can play my movies on all my screens...
776	Venkat	5	Great amd simple to use	I bought other brand that has more features, but very complex to setup and use everytime. But this product is very easy to setup and use
777	Raph	5	Great Item for different uses	I have used Chromecast extensively: Cast videos and photos from my phone, project work presentation, cast music, play games, etc. This fellow is useful if you need to move it around the house, taken that is pretty light and small. Very reliable product as well.
778	Kimb	5	Love it	Bought this to stream Netflix but the product does so much more
779	LerKes76	3	Google Chrome cast	This chrome cast work great if u don't have a smart tv.
780	paul1235	4	Better design	In standby it shows static pictures as screen saver, the new flexible cable attachment won't be easily destroyed by pets. For most people, 1080p resolution is still the standard and this does a very good job with that resolution.
781	ayesha69	5	easy setup	fast and easy setup easy to use with clear every thing
782	Crash	5	Makes internet accessibility easier	Our internet provider recently upgraded our service with 100mb fiber optic service. Our adult son suggested purchasing the Google Chromecast for ease of internet accessibility.
783	PM24	4	Very good to stream from the Internet	Very good to stream from the Internet. Seems much better than Amazon Fire.
784	mjctgb	5	Easy to install	Google-Chromecast was recommended by a friend. It was easy to install and set-up. Can't beat the price
785	googlechrome	5	Best purchase ever	An excellent product. It gives quality streaming videos from you tube.
786	Edward	4	Cool item	Pretty cool! It's cheaper than cable and has some good options for viewing shows.
787	Craig	5	Excellent way to stream your favorite shows	Device is very easy to install, is hidden from view of the TV so no cords, etc are visible. Great product!
788	dayah	5	Great TV Caster from Any Device	"This is an amazing TV casting (streaming) product for $30. I have iOS & Android devices (oh, and Chrome on PCs) that can ""project"" to the large screen TV. Most mobile apps (eg. Netflix, ) have adopted Chromecast as their supported casting feature. Here is a link of supported apps... https://www.techradar.com/news/television/13-best-chromecast-apps-for-google-s-streaming-stick-1302646"
789	Roro713	5	Great way to watch Netflix	With no cable Chromecast provides use with Netflix and other apps i really like Chromecast
790	Fredster	5	Easy to use....	I was skeptical that it would deliver as promised. I am definitely not disappointed! My wife uses it daily for morning workouts with no glitches....highly recommend!
791	awood	4	Great product. Not perfect but does the job well.	It works very well and is easy to set up. I had some misunderstandings about it’s functionality, but it still does plenty to make life convenient. For example, I thought I would be able to cast my laptop screen as if it were a wireless hdmi connection, but it can only mirror a single google chrome tab at a time, and it’s quite laggy at that. I also find it strange that the device has to always be plugged in to external power. I thought it would draw power from being plugged into the tv, but you either have to plug it into a wall outlet or plug the usb into the tv. Other than those misunderstandings on my behalf, I do still enjoy it’s hd streaming capability and convenient wireless control from my phone!
792	Nick	5	Great addition	"Allows Hulu to mirror wirelessly on any tv
From iPhone, iPad, etc"
793	Cali	4	A great product	Great if you don't have a smart tv or want to view on a bigger screen
794	Nara	5	Great producto easy and nice	"It work great and it was easy to set up in TVs .
Easy to set up on phones and we can wacht our movies on big screen"
795	Th92	4	Great deal!	Easy to use after initial set up. Great price and readily available.
796	Cuata	4	Good device	I do not know if it would be good to have it connected to the electric current.
797	Highdez	5	Awsome	Highly recommended if you have a older flat screen...
798	DannyH	5	Exactly what was advertised	I was looking for a Chromecast for my older flat screen, and this one fit the bill exactly.
799	bubba2233	5	2nd one I purchased	"I purchased the 1st one for my 26 yr old son because he would watch wrestling on Utube on his Laptop now he can cast to his 50"" plasma TV. He also casts Amazon Prime video. He loves it. The second one was for my daughter. She is not as excited about it."
800	Leadman311	4	Very reliable	I like this units to cast my phone o my tv's, easy to use
801	Piru	5	Excelent	I had bought many of this devices in BB. Always with excelent results
802	EclecticMo	4	Great device for the price	"Great performing streaming device that was easy to set up - 5 mins or less. After a couple minutes of installing updates, it was ready! Casting worked easily from both my phone and laptop.
The only downside is that there is no inbuilt ""app"" to browse and play (like Roku has). But gives it's super affordable price point, it's not too big of a deal."
803	Earl	5	Excellent product that works well	Despite my very minimal wifi service. the Chromcast that I bought at Best Buy has delivered excellent video from both my Iphone and my laptop computer. Initially, I had purchased another product from another source that claimed to be a Chromecast device, but was in reality a fake and did not work at all. Beware of this product! Make sure you have a real one which can be purchased at Best Buy.
804	Mads070707	5	Easy to installing	Easy to install and works without any problems....
805	latenight	5	great i love it	this is very cool i like it my baby dont have to watch his program on the phone just plug it and here we go everyone in the house like it it are very great thing to have
806	ajayt2	5	needed for one thing only	Only needed this to screen mirror an Android Tablet on an older model TV. Works great for what I needed it for.
807	jpvasquez	5	Chomecast is amazing!!!	I love this item because it works with almost al the devices I have at home. Android and iOS items are fully compatible.
808	glock17	5	Great	Great buy we all enjoy this this is our second one
809	Torgonius	5	Exactly what I needed	Bought this to interface my TV with my Google Home Mini. Does exactly what I need it to do.
810	Trace	5	Easy	I LOVE this device. I am able to watch shows and movies on my tvs. I like that it has clear resolution and that I don't have to wait for buffering to complete. Fast, easy and convenient for relaxing at home.
811	captainwolfe	4	works well but devices that it works with are limi	I followed all directions and they were simple to set up, i found that streaming works very well but only from some devices, it streams well from android devices like my phone and tablet, but will not stream from my lenova 2 in one laptop that is only 3 months old, it also wont stream from my 2 month old samsung chrome laptop.
812	Mack	4	Plenty of apps to choose from	Better than paying hundreds of dollars a month for cable
813	Jmmrg	5	Easy and great picture	It was very easy to set up, worked perfectly for accesssing streaming content and the picture is great.
814	Devon	5	Putting these on every TV in the house	I love having the google chrome on the tvs, it makes streaming so easy and works great with my Google Home.
815	Kayla	5	Love it	The Chromecast is my favorite device to use between the tv and google!
816	selfxuntitled	4	UPGRADE	This product was good before but it is fantastic with the Google Home Mini. Also it is MUCH faster and better quality than the previous generation.
817	Playhard	4	Make your T.V. smart	Easy to setup with Google Home app. Casts flawlessly with phone, tablet, or laptop. I mainly use it to cast Terrarium TV. Considering buying a couple more.
818	jmmw	5	Easy	Nothing is nicer than being able to cast any device I have to the big screen. Super easy to set up and use.
819	andresl1788	5	Awesome	Love using this, works great with Google home! Don't ever need a remote again
820	fesz	5	lot s apps	needed a new chromecast for my new TV. it has all the apps I want on my new TV
821	RamiroS	5	Excellent choice if you don't have a SmartTV	We bought this last year and it works fine, it`s an excellent choice if you have some TV set not smart. You manage all apps with your smartphone
822	Humbled7	5	Convenient	This is like all the other app devices, but it can be connected to your smart home and used to control your tv. It also works as a mirror device for your phone.
823	rxrodriguez81	4	Great	Great. Love it. Best thing I have ever ever bought.
824	GLW73	4	This takes some getting used to	I got this to use YouTubeTV and it takes some practice when switching from cable. I'm sure I'll eventually think it's easy maybe even easier.
825	rockon	5	Convenient	Gave away my old chromecast, so this is a replacement. Set up was easy and it works really well when casting.
826	xiaoxi	5	It works very good with my TV	I have no problem installing it and connecting it with my iPad. Very easy to use. Good for the price!
827	4JsNJ	5	Great product.	Great way to stream to another TV in the house and not have to get an extra cable box.
828	sporrer5	5	good price	didn't know if I needed this but was on sale for a great price
829	Hercules2012	5	Easy to use	The easiest set up for even us oldsters. Plug in and you are ready. I would like to have a separate remote than to use my smartphone or tablet.
830	Leroy88	4	Great alternative to roku	Functions well, a little slow to respond sometimes. Prefer this over the roku stick. Also own Amazon firestick.
831	Woodstock	5	Excellent, it connects easy and quick	Excellent, it connects easy and quick. Now I am able to use my phone as a multimedia device.
832	Nick	5	cheap way to make your TV smart	Easy to use and set up on my iphone and TV. I'm happy that I can mirror everything from my phone.Overall, I really like having this device around.
833	Changedin06	5	Works perfectly!	"I use this for cellphone/laptop to projector use. Voila! Big screen! I love it! Very simple to set up! Automatic use! Just what I needed. 

It was recommended to me. Excellent product! Must have!"
834	NcMom	5	Easy setup, breeze to use	Leave it to Google to keep things simple. Download app, plug in device, click here, click there and, boom, you're in business. Really like the cast for casting computer screen as well as content off of phones and tablets. Have Roku in addition to Chromecast and can use them both.
835	trevor	4	Good product	It works as intended. Not really much to say here. Ok
836	Elvin	5	Pretty Good	Works great and easy to install. Be mindful that your TV needs CEC supported in order to ask google to turn your TV on and off. Mine doesn't and that really upsets me. The product itself works pretty well.
837	JayBird	5	Works Great	Works great with almost every app. Doesn’t work with Comcast stream. Great product
838	Drew74	4	Easy to use and works great	I use this to link things to my tv from my laptop and it works great. Very easy to use.
839	Mike	5	Works great	I had the older version of the chromecast and it started giving me problems and would not connect to my Google Home. This one worked right out of the box and the setup was easy. Great product.
840	Nicole	5	Makes life easier	We purchased this for my father's room. He has suffered from strokes and has limited use of his hands so changing channels/ controlling the volume are out of his limitations. Coupled with the Google Assistant, he can now control his TV with his voice. This has made him so happy! It really is the little things in life. ❤
841	TeeDarrell	5	Excellent for phone mirroring	It lets you mirror anything video wise from your phone
842	Bratking	4	Works good for streaming	"Wanted this for streaming Netflix on a older HD television.
Works well for this purpose."
843	Timothy	5	Great product.	Easy peasy to hook up and use. Love watching UTUBE on TV
844	Delo	4	Great for watching movies	Great for watching movies when you don t have a smart tv.
845	JKAWA	4	Good streaming device	Good streaming device. I had some issues to setup but after a couple of tries I could connect it.
846	Jervon	5	It’s a chromecast	Need another one for my bedroom. It does what it’s suppose to do. Great little device.
847	Vinim	4	Great if work with google home.	Great device but still limited ability to cast in compare with other devices.
848	Rycan210	4	Good For starters	As advertised, good product. It works well and no conplaints
849	nick	4	Enjoy	Works good. But you have to look into some glitches
850	starr	5	I love it	I have told other people and they have bought the chromecast.
851	TechNerd	5	Chromecast is better than Fire TV	Chromecast is better than Fire TV in terms of setup. I have both and it was hard to set up my fire tv stick. Amazon had to ship out a second fire stick to get my account to work properly to stream amazon prime videos. Both are excellent price for anyone who wants to cut the cable!
852	Denman	5	Great Device for Streaming Video	The Google Chromecast work perfectly and allows me to cast almost anything from my desktopcomputer, Tablet or smart phone.
853	defgod	5	Better than original	Not as nice as the 4K one but much better than the original,
854	JMazock	5	Fun	The Chromecast works on my main TV but not on the Westinghouse. Would like to buy about 7 more Google Mini’s for my large home and many more Hue products. However, I’m waiting for your specials like the $29.95 for the Mini BB had during the Holidays.
855	LLLL	5	Great	Love it. I have three. One original and two of this version. Super easy to set up and use. They have changed my life.
856	BabaT	5	Excellent product	I already have 2 of the chromecast, then my aunt came to visit and she fell in love with it, so I decided to get one for.
857	Jason	5	Great with Google Home	Match this up with a google home mini, Netflix and or YouTube tv and this little puck will make entertainment only a voice command away! Worth every penny!
858	Rotorhead	5	Easy set up, works great!	Makes any TV a smart TV. Great when your traveling as well.
859	sara	5	Love it	Was recommended by a friend and so I decided to buy one and everyone at home loves it
860	Roberto	5	Nice Buying	"I would recommend this device.
Gives a very good quality to my TV"
861	Tiffany	5	My daughter loves this product	I bought this product for my daughter because we didn’t have cable for her. She absolutely loves to be able to download from her phone and at least watch something on her tv
862	BestBuyer	4	Gets the job done	It’s great to simply pull up a youtube video on your phone and zap it up to your tv screen
863	PopeMoosy	5	Easy to use	This device is very easy to set up and very easy to use.
864	jackiesweetgal	5	Easy Way To Replace Your Cable	We remove our cable service and didn't want buy HDMI reason one was both our phone are deferent so we have to buy two type HDMI suited for our phones and this was the best way to mirror our phones ...can be with WiFi or out just use ur hotspot.
865	Benjimonkey	5	Simple and effective	What can I say about this that hasn't already been said? It definitely streams video to my TV and works great with my Google home mini devices. It is well designed and super easy to set up.
866	lafupa	5	Great gadget	Nice piece for when you do not have a smart television
867	Tomatillo	5	Excellent product	Got this for a friend, she is not very technically inclined. She was able to figure this out and set it up on her own. She loves it.
868	dur353	5	Awesome tool to add to your entertainment center	The google chromecast makes it easy to mirror your computer and send media to your TV from your phone. Love these things.
869	Tara	5	So easy to use	Quick, easy, use with multiple devices! I did have to switch the wall piece on the power cord to help it run smoothly (I had read that worked on a separate online forum) and it worked!
870	LVBZPhotography	5	Great Addition	I bought this for my mom. She loves it because she can stream Netflix and YouTube to her TV. That's all she really watches. My mom loves it, and so do I.
871	Fenghaogang	5	Great	I love this Google chromecast,it makes my life so beautiful.
872	Al61960	5	Great !	The best I've found for streaming. Less buffering than the others
873	Bobby	5	Great for youtube tv	I purchased to use with youtube tv. It performs perfectly.
874	lasertron2017	5	Great pair to Google Home	Google Chromecast is an excellent device that connects to Google Home where you can control your TV using voice commands. Works well so far no issues.
875	Ryan	4	Works for me!	Good update to the previous Chromecast. I have these hooked up to older dumbTVs for kids to watch their youtube streams. Consider the Chromecast Ultra for 4k content.
876	WorkOutFanatic	4	Decent Buy	Chromecast is easy to use. Only default is that if you are playing a movie, in the middle it’s difficult to pause or turn off. Takes a few mins for your phone/iPad/android to talk to chromecast.
877	Salem	5	Great product!	Best product for TV( that is not smart) and Android users .5 Stars!
878	WT14	5	chromecast changed my life	my girlfriend was very happy when I brought this home. Now she won't stop casting on my tv.
879	Bashar	5	Awesome devise	This devise is really awesome and helpful a bunch.
880	Joel	5	Great chromecast	Great chromecast for all my TV in every room. This is my 4th chromecast. I recommend it to my friends.
881	Crys	5	Integration at its best	Love the way I can watch practically anything from my phone on the TV. Also I like that my phone still has utility while casting.
882	T0rxBattleArena	5	Seamless YouTube viewing experience	"After initial setup works awesomely
with my phone & the YouTube app."
883	macpro	5	Worth the buy	Google Chromecast is very useful. No more smart tv is necessary. Just plug this device to your TV, connect to your smart device and play your youtube. as simple as that
884	Ctopher84	5	Chromecaster Improved	The updated caster is more durable and looks sophisticated. Very nice
885	Ctopher84	5	Chromecaster	The updated caster is more durable and looks sophisticated. Very nice.
886	chico	3	cast	Cast tv movies pics over phone to tv or computer works good
887	Nikki	4	great item	easy to setup, works great for casting from my phone.
888	Rocky1976	5	I am loving it	Its very helpful for my Gameroom. I dont have to take multiple cable connection. saving some bucks
889	bablu	5	Good	Excellent Product. Instructions are properly given and able to set up in a min,
890	JMinDC	5	Easy to use	Love technology and love the Chromecast. Clear sound.
891	Prp6040	5	I Love the Chromecast	This little device is magic. Plainly put, if you want to get media from your cell phone to your TV, this little bugger will do it. Buy one and join the fun!
892	Skipper	5	Great Product	Chromecast is easy to install and easy to use. I like how it is no longer like a memory stick. My previous Chromecast was a memory stick and it broke off as it was too close to the edge of the cabinet. This item allows you to cast almost anything onto your TV at the push of a button!
893	Nice	5	Better than the old one	I have no single problem with this chromecast. Easy to set up
894	Sydisback55	4	easy to set up	east to set up, works great,. didn't know this existed! awesome.
895	Beemom	5	Love this product	I purchased this Chromecast as part of my YouTubeTV subscription. It was a very easy setup and works great. It is very user friendly
896	Heather	4	Great	Great product but it tends to freeze up and restarts.
897	Potterhead	5	Great product!	Great product! Really makes it easy to cast my phone on the tv!
898	sharat	5	Best casting device	Works awesome to cast anything from my chrome browser, Android phone. YouTube videos
899	ntech	5	works as intended	Google chromecast works as intended. I don't know enough to say whether it's better or worse than Roku and other similar items.
900	ZZBolt	4	Works as advertised	had some trouble getting it set up initially but since has worked very well
901	Johns	5	Great options	This is a winner if you are looking to expand your entertainment options!
902	Mikey	1	It sucks	This product sucks!!! I will never buy this product again.
903	Pauline	5	Great Product	Love casting from my phone to the tv. It is so convenient.
904	Elly	5	I can watch youtube everywhere now	It was a very easy installation and streaming from my PC and android phone is a breeze. I am very happy.
905	Mamie	5	Love it	Enjoy being able to watch anything in my TV. What a great product.
906	Maury	5	It works	The price is right. It works great to cast what's on my laptop screen to the TV in a group discussion instead of having many people hovering over the screen.
907	TraceYaromi	5	So simple	"Plug and play, anything from your phone via the google home app, or some apps can cast direct.
I do wish it could function on it's own without a phone at times though"
908	Srivatsa	5	No issues and works well	Google chrome cast works as expected as other google products. No issues as of now
909	homegadgets2	5	Great product	Great product for the money easy to use for beginner.
910	ConMan	5	Worked perfectly	Great device, great price, worked flawlessly out of the box!
911	LeoDaLion	4	It's a nice addition to Google Home & Arlo	Together my Google Home mini, Arlo Pro cameras and the Chromecast can stream the Arlo cameras on my TV by just asking Google Home to stream which ever camera I choose. Honestly had I not purchased Google Home and have Arlo security cameras set up around the house I would not have purchased Chromecast. I feel it doesn't do more than a Amazon Fire stick and the fact that it doesn't come with a remote so using a phone or tablet is pretty much your only option is something I don't like. I would only recommend it to those who have the same set up I have at home. If being able to stream Arlo on your big TV is something you would like to do, this is pretty sweet.
912	Kevin	5	Easy set up, works exactly as stated.	I bought this item to cast my laptop to my TV. I needed to cast a presentation for class to be recorded. Worked great!
913	Johnny	5	Great for casting	Great for casting from my iPhone to my tv. Plus has all college basketball games
914	mattstang	4	Great device to cast movies to my TV	I bought this to cast movies to my TV from the Google Play Movies app. Works great. I can use my phone as a remote to start, stop, rewind, skip forward, skip back the movie that's playing. A bonus feature is that I can still use my phone to do other things while the movie is being casted to my TV, like surfing the internet to look something up.
915	southbendcarp	5	Swell product	"Fairly easy to use and makes my ""dumb"" tv smart! Casting is fairly easy and stress-free."
916	JoeP	5	ChromeCast	Great Product. Use it all the time to stream Netflix. Buying it was easy and simple. Best Buy is a Great store. With knowledgeable staff.
917	SaiG	5	Great chromecast	Awesome product and streaming is good. The following option is really hepful...included power adapter isn't really necessary as long as you have a powered USB Port on your TV to plug it in to.
918	Patrick	4	Great product but sometimes need to reset	This is a great product but sometimes need to reset because my mobile phone cannot connect
919	Ja54	5	Great!	Love these have 3 now. Would highly recommend. Easy to install.
920	Casualgamer	4	Great product, easy setup	Very easy to setup and use. Works great with Google home
921	Mark	5	Nice product	I like the product and have been using it comfortably
922	dave	5	Great product.	Love my Google chromecast. It makes streaming any internet app (Netflix, YouTube, Hulu, etc.)a breeze.
923	Scott	5	Cool!	Works well. Easy to set up.I use it daily. And updates make it better and better.
924	wass	5	Good product	Easy to use and set up. and very reliable with connections
925	Buster	5	Nice.works great	Got this so I could get Netflix on my TV. Works great .
926	Paulie	4	Loved it	Awesome so good all amazing thebestest the finest. Yeah buddy
927	Txaopi	5	Game changer!	This is a must have item if you use Netflix or Hulu! Super easy to use and apparently even better with an android device (although also works with iPhone)
928	Denny	5	Like Item, But Doesn't Work on All Devices	Love Chromecast, but can't download app on all of my devices (i.e. newest Kindle Fire) or at least get Netflix to run on it. There are work arounds to download the app, but still can't cast Netflix on the Kindle Fire as it is a competitor with Amazon Prime. It should fully work on any android device, and does on my other android devices, though.
929	Msanchez	4	Good quality and price	Satisfied with my purchase. Good price and quality.
930	MrsW2013	5	User friendly	I bought a chromecast a few months ago for the living room tv. I loved it so much, we decided to buy another one for the bedroom t.v.
931	carynlea	5	Cut the Cable Cord with this item	"Chromecast allows you to 'cast' shows, videos, etc from your phone or tablet to your TV. 
It's super easy to set up and we gave up DirectTV after installing this item."
932	renee	5	Good for those without Cable TV	I love using this. I previously was watching everything like Netflix and Hulu on the Playstation and they were taking up a lot of room. It pairs great with the Google Home! I highly recommend to anyone who is just paying for those streaming services.
933	Joey	4	Easy set up	It's a great option for streaming through your cell at the TV!
934	Rush	5	Great buy	Works perfectly. I love streaming Netflix with it.
935	LilysMom	5	awesome	Took a bit to register but it works as advertised. I would purchase again
936	Beef	5	My go to device	This is my go to device for casting movies from my phone to the TV. It's small and it hides behind my TV and the quality is good.
937	Jack	5	Great streamer	No problems on my Android for internet streaming for 4 mo. now and love it. Can't do that with competitor devices. I ended up getting a 2nd one. Used it in different parts of the house, no problem. Just cast the movie, then you can turn the phone off and start watching with popcorn. Although this device is plugged in to the HDMI it is dangling on the back of the TV. with the power cord plugged into it too.
938	Fittidawg77	5	Works great!	Easy to set up and use. My 10yr uses it to cast her you tube videos on the TV.
939	Wanderotter	5	Chromcast	Solved my no internet/ cable issue at our cabin. Use with hotspot to stream content onto TV
940	miguelvilchis	5	Great media streaming device for a low price	The chromecast functions as advertised and is so small that in any setup it could be hidden and also the fact that is really simple to set up is a good media streaming device for anyone on a budget.
941	ENRP	5	Love it!	Amazing product. I love that I can control what I'm watching from my smart phone.
942	mahoot	4	Chromecast is a good cast	This works great. I love that I can sleep in a little bit longer on the weekends because I can cast a movie for my kids to the TV in the living room when they get up ridiculously early all from the comfort of my own bed.
943	Trevor	4	Exactly what you need.	Great to make non-smart TV's smart. Only downfall is you either need your phone to control it or a Google Home. I kinda wish it had a remote like the Amazon Fire Stick.
944	JeffE	4	as expected	It's chromecast. Great product. Even better if you have google home.
945	shoefly58	5	Excellent....	"Works great. Use it in my garage shop connected to a 21"" monitor to stream YouTube and Netflix."
946	CRan	5	Works perfectly	Any older TV that doesn't have this needs it! It really does help facilitate things for casting smoothly and seamlessly. I really enjoy it its a quick and easy product to use.
947	SayitsPaint	5	Love it	I love my Chromecast- I use it almost daily. Easy to set up, easy to connect to, easy to use.
948	Mina	4	Great Chromecast	Great Chromecast. Esay to use and the best part is that it is controlled by any android phone or tablet.
949	HiREV	5	Easy and convenient	Quick and easy setup! Best for those without a smart tv.
950	Bmj921	5	Awesome	Got it for my mom. Has an easy setup, lots of apps to use with it.. very simple to use
951	Mony	4	Works fine	I’ve used the original google chrome cast before and I loved it. Decided to buy another chrome cast for my TV. However, this does everything I need but sometime there’s a delay connection unlike the original one.
952	NotNow	4	Great beginning drawing tablet	This is a great beginners drawing tablet. The S pen is amazing and functions well with the ineractive screen. The only issues I've had with it over a few months is that the tablet will crash if I try to do too much with it with drawing programs. This tablet is great but definitely has its limitations.
953	MWatkins85	5	Great Streaming Device	This product is great for streaming media from your cell phone or tablet to your tv. Not only from streaming aps, but your personal photos and videos are able to be displayed on your tv!
954	Tharlow92	4	Great deal!	The Google Chromecast is very easy to set up and use.
955	Aberg	5	Great for streaming	Streams everything I need and more. More content than any one person could ever watch in a lifetime.
956	awills	5	Great way to watch your shows or movies on your TV	I am so glad I purchased this. It’s easy to use. My 9 year old loves using the iPad apps and casting Netflix or Hulu on to the tv using the google chrome cast. And it’s great for traveling.
957	NYC914	5	Google is the best	can cast all your movie apps with good wire.......
958	Michelle	5	GREAT!	I am loving my chromecast! It plays all of my streaming needs from hulu to netflix to even pandora! Right from my phone or ipad! I would highly recommend.
959	Bobby	5	Great price for a very usable gadget for tv shows	Thanks to Google for making an inexpensive way to cut the cable.....I am now saving nearly 60 per month, saved the price of the item in one month....that is a good buy.
960	Shane	3	Ehhh	I am not to happy with this. The only app that I can seem to use is Netflix.
961	Mark	5	Easy and affordable	For 35 bucks and the ease of use, I bought a few for gifts and all the televisions in the house.
962	Rahman	5	I like it	I was not sure before buying it. My family is enjoying the ease of chrome cast now.
963	Tiger15	2	Could be better	Bought this Comcast thinking I could use it with Direct tv app. Did not work . Very disappointed.
964	Skylight74	5	Great product.	I had the previous version of this chromecast had it for about 3 years. Until my kids broke it. Well worth my money.
